ICAO,IATA,Airline Name,Callsign,Country,Status
KLM,KL,KLM Royal Dutch Airlines,KLM,Netherlands,Active
KQA,KQ,Kenya Airways,KENYA,Kenya,Active
LDA,LW,Lauda Europe,LAUDA MOTION,Malta,Active
LOT,LO,LOT Polish Airlines,POLLOT,Poland,Active
MAY,MW,Malta Air,BLUE MED,Malta,Active
MAS,MH,Malaysia Airlines,MALAYSIAN,Malaysia,Active
MSR,MS,EgyptAir,EGYPTAIR,Egypt,Active
OAL,OA,Olympic Air,OLYMPIC,Greece,Active
OMA,WY,Oman Air,OMAN AIR,Oman,Active
PIA,PK,Pakistan International Airlines,PAKISTAN,Pakistan,Active
QFA,QF,Qantas,QANTAS,Australia,Active
QTR,QR,Qatar Airways,QATARI,Qatar,Active
RAM,AT,Royal Air Maroc,ROYALAIR MOC,Morocco,Active
RCH,---,USAF Air Mobility Command,REACH,United States,Military
RJA,RJ,Royal Jordanian,JORDANIAN,Jordan,Active
RRR,---,Royal Air Force,ASCOT,United Kingdom,Military
RSN,RR,Buzz / Ryanair Sun,MAGIC SUN,Poland,Active
RUK,RK,Ryanair UK,BLUE MAX,United Kingdom,Active
RYR,FR,Ryanair DAC,RYANAIR,Ireland,Active
SAS,SK,Scandinavian Airlines (SAS),SCANDINAVIAN,Multi-National,Active
SIA,SQ,Singapore Airlines,SINGAPORE,Singapore,Active
SWA,WN,Southwest Airlines,SOUTHWEST,United States,Active
SWR,LX,Swiss International Air Lines,SWISS,Switzerland,Active
TAP,TP,TAP Air Portugal,AIR PORTUGAL,Portugal,Active
THY,TK,Turkish Airlines,TURKISH,Turkey,Active
UAE,EK,Emirates,EMIRATES,United Arab Emirates,Active
UAL,UA,United Airlines,UNITED,United States,Active
UPS,5X,UPS Airlines,UPS,United States,Active
VIR,VS,Virgin Atlantic,VIRGIN,United Kingdom,Active
VOZ,VA,Virgin Australia,VIRGIN,Australia,Active
VLG,VY,Vueling,VUELING,Spain,Active
WZZ,W6,Wizz Air,WIZZAIR,Hungary,Active
